title,company_profile,description,requirements,benefits,fraudulent
Administrative Assistant,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Cloud Architect,Oracle is a leading technology company.,"Exciting opportunity at Oracle for an experienced Cloud Architect. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,Stripe is a leading technology company.,"We are looking for a talented System Administrator to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,VMware is a leading technology company.,Join VMware as a Project Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Salesforce is a leading technology company.,"Salesforce is hiring a Content Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Amazon is a leading technology company.,"Exciting opportunity at Amazon for an experienced Full Stack Developer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,McKinsey is a leading technology company.,Join McKinsey as a Software Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Backend Developer,McKinsey is a leading technology company.,"McKinsey is hiring a Backend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Meta is a leading technology company.,"Meta is hiring a Operations Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Machine Learning Engineer,Twitter is a leading technology company.,"Exciting opportunity at Twitter for an experienced Machine Learning Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Microsoft is a leading technology company.,"Microsoft is hiring a Full Stack Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Lyft is a leading technology company.,"Exciting opportunity at Lyft for an experienced Frontend Developer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Goldman Sachs is a leading technology company.,"Exciting opportunity at Goldman Sachs for an experienced Cloud Architect. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Oracle is a leading technology company.,Join Oracle as a Product Designer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Adobe is a leading technology company.,Join Adobe as a HR Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,VMware is a leading technology company.,"Exciting opportunity at VMware for an experienced Customer Support Lead. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Microsoft is a leading technology company.,"We are looking for a talented Supply Chain Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Amazon is a leading technology company.,"Exciting opportunity at Amazon for an experienced Software Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Account Manager,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Operations Manager,Goldman Sachs is a leading technology company.,"Exciting opportunity at Goldman Sachs for an experienced Operations Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Airbnb is a leading technology company.,"Exciting opportunity at Airbnb for an experienced Sales Representative. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Account Manager,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Content Writer,Netflix is a leading technology company.,"Netflix is hiring a Content Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Software Engineer,Oracle is a leading technology company.,"Oracle is hiring a Software Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Deloitte is a leading technology company.,"Deloitte is hiring a QA Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Adobe is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Oracle is a leading technology company.,"We are looking for a talented Customer Support Lead to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Apple is a leading technology company.,Join Apple as a Frontend Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Lyft is a leading technology company.,Join Lyft as a Database Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Netflix is a leading technology company.,"Exciting opportunity at Netflix for an experienced Content Writer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,IBM is a leading technology company.,"We are looking for a talented Supply Chain Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Apple is a leading technology company.,"Exciting opportunity at Apple for an experienced Software Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Microsoft is a leading technology company.,"We are looking for a talented Customer Support Lead to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Uber is a leading technology company.,"Uber is hiring a Frontend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Adobe is a leading technology company.,"Adobe is hiring a Content Writer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Deloitte is a leading technology company.,"Deloitte is hiring a Product Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Deloitte is a leading technology company.,"Deloitte is hiring a Frontend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,Salesforce is a leading technology company.,Join Salesforce as a System Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Twitter is a leading technology company.,Join Twitter as a Full Stack Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Online Survey Taker,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
